Date (NST),Parameter ,Value (m)
2021-05-02 22:45,46,85.842
2021-05-02 23:00,46,85.851
2021-05-02 23:15,46,85.856
2021-05-02 23:30,46,85.854
2021-05-02 23:45,46,85.84
2021-05-03 0:00,46,85.853
2021-05-03 0:15,46,85.845
2021-05-03 0:30,46,85.854
2021-05-03 0:45,46,85.854
2021-05-03 1:00,46,85.853
2021-05-03 1:15,46,85.848
2021-05-03 1:30,46,85.856
2021-05-03 1:45,46,85.847
2021-05-03 2:00,46,85.864
2021-05-03 2:15,46,85.85
2021-05-03 2:30,46,85.844
2021-05-03 2:45,46,85.87
2021-05-03 3:00,46,85.865
2021-05-03 3:15,46,85.838
2021-05-03 3:30,46,85.866
2021-05-03 3:45,46,85.858
2021-05-03 4:00,46,85.85
2021-05-03 4:15,46,85.85
2021-05-03 4:30,46,85.841
2021-05-03 4:45,46,85.856
2021-05-03 5:00,46,85.85
2021-05-03 5:15,46,85.854
2021-05-03 5:30,46,85.866
2021-05-03 5:45,46,85.858
2021-05-03 6:00,46,85.841
2021-05-03 6:15,46,85.856
2021-05-03 6:30,46,85.842
2021-05-03 6:45,46,85.854
2021-05-03 7:00,46,85.861
2021-05-03 7:15,46,85.861
2021-05-03 7:30,46,85.851
2021-05-03 7:45,46,85.855
2021-05-03 8:00,46,85.838
2021-05-03 8:15,46,85.867
2021-05-03 8:30,46,85.854
2021-05-03 8:45,46,85.857
2021-05-03 9:00,46,85.866
2021-05-03 9:15,46,85.834
2021-05-03 9:30,46,85.857
2021-05-03 9:45,46,85.842
2021-05-03 10:00,46,85.851
2021-05-03 10:15,46,85.877
2021-05-03 10:30,46,85.839
2021-05-03 10:45,46,85.84
2021-05-03 11:00,46,85.864
2021-05-03 11:15,46,85.831
2021-05-03 11:30,46,85.85
2021-05-03 11:45,46,85.857
2021-05-03 12:00,46,85.837
2021-05-03 12:15,46,85.835
2021-05-03 12:30,46,85.851
2021-05-03 12:45,46,85.83
2021-05-03 13:00,46,85.868
2021-05-03 13:15,46,85.851
2021-05-03 13:30,46,85.831
2021-05-03 13:45,46,85.851
2021-05-03 14:00,46,85.831
2021-05-03 14:15,46,85.841
2021-05-03 14:30,46,85.866
2021-05-03 14:45,46,85.84
2021-05-03 15:00,46,85.858
2021-05-03 15:15,46,85.847
2021-05-03 15:30,46,85.834
2021-05-03 15:45,46,85.852
2021-05-03 16:00,46,85.863
2021-05-03 16:15,46,85.841
2021-05-03 16:30,46,85.862
2021-05-03 16:45,46,85.835
2021-05-03 17:00,46,85.838
2021-05-03 17:15,46,85.865
2021-05-03 17:30,46,85.85
2021-05-03 17:45,46,85.861
2021-05-03 18:00,46,85.866
2021-05-03 18:15,46,85.847
2021-05-03 18:30,46,85.848
2021-05-03 18:45,46,85.858
2021-05-03 19:00,46,85.847
2021-05-03 19:15,46,85.878
2021-05-03 19:30,46,85.85
2021-05-03 19:45,46,85.857
2021-05-03 20:00,46,85.851
2021-05-03 20:15,46,85.848
2021-05-03 20:30,46,85.856
2021-05-03 20:45,46,85.87
2021-05-03 21:00,46,85.865
2021-05-03 21:15,46,85.861
2021-05-03 21:30,46,85.849
2021-05-03 21:45,46,85.846
2021-05-03 22:00,46,85.863
2021-05-03 22:15,46,85.856
2021-05-03 22:30,46,85.874
2021-05-03 22:45,46,85.86
2021-05-03 23:00,46,85.859
2021-05-03 23:15,46,85.848
2021-05-03 23:30,46,85.857
2021-05-03 23:45,46,85.853
2021-05-04 0:00,46,85.878
2021-05-04 0:15,46,85.851
2021-05-04 0:30,46,85.873
2021-05-04 0:45,46,85.856
2021-05-04 1:00,46,85.857
2021-05-04 1:15,46,85.867
2021-05-04 1:30,46,85.873
2021-05-04 1:45,46,85.865
2021-05-04 2:00,46,85.88
2021-05-04 2:15,46,85.854
2021-05-04 2:30,46,85.862
2021-05-04 2:45,46,85.866
2021-05-04 3:00,46,85.866
2021-05-04 3:15,46,85.866
2021-05-04 3:30,46,85.872
2021-05-04 3:45,46,85.86
2021-05-04 4:00,46,85.87
2021-05-04 4:15,46,85.867
2021-05-04 4:30,46,85.876
2021-05-04 4:45,46,85.875
2021-05-04 5:00,46,85.862
2021-05-04 5:15,46,85.872
2021-05-04 5:30,46,85.865
2021-05-04 5:45,46,85.875
2021-05-04 6:00,46,85.865
2021-05-04 6:15,46,85.889
2021-05-04 6:30,46,85.862
2021-05-04 6:45,46,85.875
2021-05-04 7:00,46,85.869
2021-05-04 7:15,46,85.876
2021-05-04 7:30,46,85.874
2021-05-04 7:45,46,85.877
2021-05-04 8:00,46,85.858
2021-05-04 8:15,46,85.881
2021-05-04 8:30,46,85.857
2021-05-04 8:45,46,85.868
2021-05-04 9:00,46,85.874
2021-05-04 9:15,46,85.878
2021-05-04 9:30,46,85.87
2021-05-04 9:45,46,85.878
2021-05-04 10:00,46,85.865
2021-05-04 10:15,46,85.879
2021-05-04 10:30,46,85.868
2021-05-04 10:45,46,85.875
2021-05-04 11:00,46,85.876
2021-05-04 11:15,46,85.859
2021-05-04 11:30,46,85.87
2021-05-04 11:45,46,85.868
2021-05-04 12:00,46,85.879
2021-05-04 12:15,46,85.881
2021-05-04 12:30,46,85.867
2021-05-04 12:45,46,85.863
2021-05-04 13:00,46,85.88
2021-05-04 13:15,46,85.858
2021-05-04 13:30,46,85.877
2021-05-04 13:45,46,85.864
2021-05-04 14:00,46,85.891
2021-05-04 14:15,46,85.875
2021-05-04 14:30,46,85.873
2021-05-04 14:45,46,85.857
2021-05-04 15:00,46,85.879
2021-05-04 15:15,46,85.873
2021-05-04 15:30,46,85.881
2021-05-04 15:45,46,85.867
2021-05-04 16:00,46,85.878
2021-05-04 16:15,46,85.877
2021-05-04 16:30,46,85.895
2021-05-04 16:45,46,85.87
2021-05-04 17:00,46,85.896
2021-05-04 17:15,46,85.876
2021-05-04 17:30,46,85.889
2021-05-04 17:45,46,85.883
2021-05-04 18:00,46,85.889
2021-05-04 18:15,46,85.886
2021-05-04 18:30,46,85.882
2021-05-04 18:45,46,85.892
2021-05-04 19:00,46,85.876
2021-05-04 19:15,46,85.885
2021-05-04 19:30,46,85.895
2021-05-04 19:45,46,85.9
2021-05-04 20:00,46,85.882
2021-05-04 20:15,46,85.911
2021-05-04 20:30,46,85.877
2021-05-04 20:45,46,85.894
2021-05-04 21:00,46,85.893
2021-05-04 21:15,46,85.899
2021-05-04 21:30,46,85.882
2021-05-04 21:45,46,85.904
2021-05-04 22:00,46,85.866
2021-05-04 22:15,46,85.897
2021-05-04 22:30,46,85.889
2021-05-04 22:45,46,85.903
2021-05-04 23:00,46,85.882
2021-05-04 23:15,46,85.9
2021-05-04 23:30,46,85.886
2021-05-04 23:45,46,85.889
2021-05-05 0:00,46,85.879
2021-05-05 0:15,46,85.902
2021-05-05 0:30,46,85.89
2021-05-05 0:45,46,85.897
2021-05-05 1:00,46,85.887
2021-05-05 1:15,46,85.886
2021-05-05 1:30,46,85.884
2021-05-05 1:45,46,85.887
2021-05-05 2:00,46,85.908
2021-05-05 2:15,46,85.894
2021-05-05 2:30,46,85.901
2021-05-05 2:45,46,85.875
2021-05-05 3:00,46,85.915
2021-05-05 3:15,46,85.875
2021-05-05 3:30,46,85.919
2021-05-05 3:45,46,85.893
2021-05-05 4:00,46,85.903
2021-05-05 4:15,46,85.886
2021-05-05 4:30,46,85.914
2021-05-05 4:45,46,85.876
2021-05-05 5:00,46,85.917
2021-05-05 5:15,46,85.893
2021-05-05 5:30,46,85.9
2021-05-05 5:45,46,85.902
2021-05-05 6:00,46,85.902
2021-05-05 6:15,46,85.888
2021-05-05 6:30,46,85.915
2021-05-05 6:45,46,85.899
2021-05-05 7:00,46,85.904
2021-05-05 7:15,46,85.901
2021-05-05 7:30,46,85.9
2021-05-05 7:45,46,85.902
2021-05-05 8:00,46,85.912
2021-05-05 8:15,46,85.901
2021-05-05 8:30,46,85.916
2021-05-05 8:45,46,85.907
2021-05-05 9:00,46,85.899
2021-05-05 9:15,46,85.927
2021-05-05 9:30,46,85.898
2021-05-05 9:45,46,85.928
2021-05-05 10:00,46,85.921
2021-05-05 10:15,46,85.908
2021-05-05 10:30,46,85.898
2021-05-05 10:45,46,85.929
2021-05-05 11:00,46,85.894
2021-05-05 11:15,46,85.933
2021-05-05 11:30,46,85.902
2021-05-05 11:45,46,85.923
2021-05-05 12:00,46,85.912
2021-05-05 12:15,46,85.907
2021-05-05 12:30,46,85.918
2021-05-05 12:45,46,85.924
2021-05-05 13:00,46,85.894
2021-05-05 13:15,46,85.917
2021-05-05 13:30,46,85.91
2021-05-05 13:45,46,85.91
2021-05-05 14:00,46,85.93
2021-05-05 14:15,46,85.895
2021-05-05 14:30,46,85.927
2021-05-05 14:45,46,85.926
2021-05-05 15:00,46,85.885
2021-05-05 15:15,46,85.922
2021-05-05 15:30,46,85.915
2021-05-05 15:45,46,85.898
2021-05-05 16:00,46,85.945
2021-05-05 16:15,46,85.904
2021-05-05 16:30,46,85.889
2021-05-05 16:45,46,85.933
2021-05-05 17:00,46,85.9
2021-05-05 17:15,46,85.926
2021-05-05 17:30,46,85.923
2021-05-05 17:45,46,85.9
2021-05-05 18:00,46,85.929
2021-05-05 18:15,46,85.923
2021-05-05 18:30,46,85.882
2021-05-05 18:45,46,85.95
2021-05-05 19:00,46,85.914
2021-05-05 19:15,46,85.917
2021-05-05 19:30,46,85.93
2021-05-05 19:45,46,85.909
2021-05-05 20:00,46,85.911
2021-05-05 20:15,46,85.934
2021-05-05 20:30,46,85.9
2021-05-05 20:45,46,85.955
2021-05-05 21:00,46,85.919
2021-05-05 21:15,46,85.914
