Date (MST),Parameter ,Value (m)
2021-05-01 5:25,46,14.115
2021-05-01 5:30,46,14.115
2021-05-01 5:35,46,14.115
2021-05-01 5:40,46,14.115
2021-05-01 5:45,46,14.115
2021-05-01 5:50,46,14.115
2021-05-01 5:55,46,14.115
2021-05-01 6:00,46,14.115
2021-05-01 6:05,46,14.115
2021-05-01 6:10,46,14.115
2021-05-01 6:15,46,14.115
2021-05-01 6:20,46,14.115
2021-05-01 6:25,46,14.115
2021-05-01 6:30,46,14.115
2021-05-01 6:35,46,14.115
2021-05-01 6:40,46,14.115
2021-05-01 6:45,46,14.115
2021-05-01 6:50,46,14.115
2021-05-01 6:55,46,14.115
2021-05-01 7:00,46,14.115
2021-05-01 7:05,46,14.115
2021-05-01 7:10,46,14.115
2021-05-01 7:15,46,14.115
2021-05-01 7:20,46,14.115
2021-05-01 7:25,46,14.115
2021-05-01 7:30,46,14.115
2021-05-01 7:35,46,14.115
2021-05-01 7:40,46,14.115
2021-05-01 7:45,46,14.115
2021-05-01 7:50,46,14.115
2021-05-01 7:55,46,14.115
2021-05-01 8:00,46,14.115
2021-05-01 8:05,46,14.115
2021-05-01 8:10,46,14.115
2021-05-01 8:15,46,14.115
2021-05-01 8:20,46,14.115
2021-05-01 8:25,46,14.115
2021-05-01 8:30,46,14.115
2021-05-01 8:35,46,14.115
2021-05-01 8:40,46,14.115
2021-05-01 8:45,46,14.115
2021-05-01 8:50,46,14.115
2021-05-01 8:55,46,14.115
2021-05-01 9:00,46,14.115
2021-05-01 9:05,46,14.115
2021-05-01 9:10,46,14.115
2021-05-01 9:15,46,14.115
2021-05-01 9:20,46,14.115
2021-05-01 9:25,46,14.115
2021-05-01 9:30,46,14.115
2021-05-01 9:35,46,14.115
2021-05-01 9:40,46,14.115
2021-05-01 9:45,46,14.115
2021-05-01 9:50,46,14.115
2021-05-01 9:55,46,14.115
2021-05-01 10:00,46,14.115
2021-05-01 10:05,46,14.115
2021-05-01 10:10,46,14.115
2021-05-01 10:15,46,14.115
2021-05-01 10:20,46,14.115
2021-05-01 10:25,46,14.115
2021-05-01 10:30,46,14.115
2021-05-01 10:35,46,14.115
2021-05-01 10:40,46,14.115
2021-05-01 10:45,46,14.115
2021-05-01 10:50,46,14.115
2021-05-01 10:55,46,14.115
2021-05-01 11:00,46,14.115
2021-05-01 11:05,46,14.115
2021-05-01 11:10,46,14.115
2021-05-01 11:15,46,14.115
2021-05-01 11:20,46,14.115
2021-05-01 11:25,46,14.115
2021-05-01 11:30,46,14.115
2021-05-01 11:35,46,14.115
2021-05-01 11:40,46,14.115
2021-05-01 11:45,46,14.115
2021-05-01 11:50,46,14.115
2021-05-01 11:55,46,14.115
2021-05-01 12:00,46,14.115
2021-05-01 12:05,46,14.115
2021-05-01 12:10,46,14.115
2021-05-01 12:15,46,14.115
2021-05-01 12:20,46,14.115
2021-05-01 12:25,46,14.115
2021-05-01 12:30,46,14.115
2021-05-01 12:35,46,14.115
2021-05-01 12:40,46,14.115
2021-05-01 12:45,46,14.115
2021-05-01 12:50,46,14.115
2021-05-01 12:55,46,14.115
2021-05-01 13:00,46,14.115
2021-05-01 13:05,46,14.115
2021-05-01 13:10,46,14.115
2021-05-01 13:15,46,14.115
2021-05-01 13:20,46,14.115
2021-05-01 13:25,46,14.115
2021-05-01 13:30,46,14.115
2021-05-01 13:35,46,14.115
2021-05-01 13:40,46,14.115
2021-05-01 13:45,46,14.115
2021-05-01 13:50,46,14.115
2021-05-01 13:55,46,14.115
2021-05-01 14:00,46,14.115
2021-05-01 14:05,46,14.115
2021-05-01 14:10,46,14.115
2021-05-01 14:15,46,14.115
2021-05-01 14:20,46,14.115
2021-05-01 14:25,46,14.115
2021-05-01 14:30,46,14.115
2021-05-01 14:35,46,14.115
2021-05-01 14:40,46,14.115
2021-05-01 14:45,46,14.115
2021-05-01 14:50,46,14.115
2021-05-01 14:55,46,14.115
2021-05-01 15:00,46,14.115
2021-05-01 15:05,46,14.115
2021-05-01 15:10,46,14.115
2021-05-01 15:15,46,14.115
2021-05-01 15:20,46,14.115
2021-05-01 15:25,46,14.115
2021-05-01 15:30,46,14.115
2021-05-01 15:35,46,14.115
2021-05-01 15:40,46,14.115
2021-05-01 15:45,46,14.115
2021-05-01 15:50,46,14.115
2021-05-01 15:55,46,14.115
2021-05-01 16:00,46,14.115
2021-05-01 16:05,46,14.115
2021-05-01 16:10,46,14.115
2021-05-01 16:15,46,14.115
2021-05-01 16:20,46,14.115
2021-05-01 16:25,46,14.115
2021-05-01 16:30,46,14.115
2021-05-01 16:35,46,14.115
2021-05-01 16:40,46,14.115
2021-05-01 16:45,46,14.115
2021-05-01 16:50,46,14.115
2021-05-01 16:55,46,14.115
2021-05-01 17:00,46,14.115
2021-05-01 17:05,46,14.115
2021-05-01 17:10,46,14.115
2021-05-01 17:15,46,14.115
2021-05-01 17:20,46,14.115
2021-05-01 17:25,46,14.115
2021-05-01 17:30,46,14.115
2021-05-01 17:35,46,14.115
2021-05-01 17:40,46,14.115
2021-05-01 17:45,46,14.115
2021-05-01 17:50,46,14.115
2021-05-01 17:55,46,14.115
2021-05-01 18:00,46,14.115
2021-05-01 18:05,46,14.115
2021-05-01 18:10,46,14.115
2021-05-01 18:15,46,14.115
2021-05-01 18:20,46,14.115
2021-05-01 18:25,46,14.115
2021-05-01 18:30,46,14.115
2021-05-01 18:35,46,14.115
2021-05-01 18:40,46,14.115
2021-05-01 18:45,46,14.115
2021-05-01 18:50,46,14.115
2021-05-01 18:55,46,14.115
2021-05-01 19:00,46,14.115
2021-05-01 19:05,46,14.115
2021-05-01 19:10,46,14.115
2021-05-01 19:15,46,14.115
2021-05-01 19:20,46,14.115
2021-05-01 19:25,46,14.115
2021-05-01 19:30,46,14.115
2021-05-01 19:35,46,14.115
2021-05-01 19:40,46,14.115
2021-05-01 19:45,46,14.115
2021-05-01 19:50,46,14.115
2021-05-01 19:55,46,14.115
2021-05-01 20:00,46,14.115
2021-05-01 20:05,46,14.115
2021-05-01 20:10,46,14.115
2021-05-01 20:15,46,14.115
2021-05-01 20:20,46,14.115
2021-05-01 20:25,46,14.115
2021-05-01 20:30,46,14.115
